指标名称,Mysteel冶金焦国产价格指数：湿熄：现货价格指数：中国（日）
指标编码,ID00187989
2024-10-12 00:00:00,1785.0
2024-10-11 00:00:00,1785.0
2024-10-10 00:00:00,1780.6
2024-10-09 00:00:00,1780.6
2024-10-08 00:00:00,1780.6
2024-09-30 00:00:00,1639.0
2024-09-29 00:00:00,1639.0
2024-09-27 00:00:00,1638.8
2024-09-26 00:00:00,1638.8
2024-09-25 00:00:00,1593.1
2024-09-24 00:00:00,1593.1
2024-09-23 00:00:00,1593.1
2024-09-20 00:00:00,1592.5
2024-09-19 00:00:00,1584.3
2024-09-18 00:00:00,1545.2
2024-09-14 00:00:00,1545.2
2024-09-13 00:00:00,1545.2
2024-09-12 00:00:00,1545.2
2024-09-11 00:00:00,1545.2
2024-09-10 00:00:00,1544.5
2024-09-09 00:00:00,1592.0
2024-09-06 00:00:00,1592.0
2024-09-05 00:00:00,1592.0
2024-09-04 00:00:00,1595.9
2024-09-03 00:00:00,1595.9
2024-09-02 00:00:00,1599.4
2024-08-30 00:00:00,1605.2
2024-08-29 00:00:00,1605.2
2024-08-28 00:00:00,1651.4
2024-08-27 00:00:00,1653.1
2024-08-26 00:00:00,1653.1
2024-08-23 00:00:00,1653.1
2024-08-22 00:00:00,1699.4
2024-08-21 00:00:00,1699.4
2024-08-20 00:00:00,1702.3
2024-08-19 00:00:00,1748.9
2024-08-16 00:00:00,1748.9
2024-08-15 00:00:00,1748.9
2024-08-14 00:00:00,1795.2
2024-08-13 00:00:00,1795.2
2024-08-12 00:00:00,1795.2
2024-08-09 00:00:00,1839.7
2024-08-08 00:00:00,1839.7
2024-08-07 00:00:00,1839.7
2024-08-06 00:00:00,1839.7
2024-08-05 00:00:00,1839.7
2024-08-02 00:00:00,1902.2
2024-08-01 00:00:00,1902.2
2024-07-31 00:00:00,1905.6
2024-07-30 00:00:00,1905.6
2024-07-29 00:00:00,1909.9
2024-07-26 00:00:00,1965.4
2024-07-25 00:00:00,1965.4
2024-07-24 00:00:00,1965.4
2024-07-23 00:00:00,1965.4
2024-07-22 00:00:00,1965.4
2024-07-19 00:00:00,1965.4
2024-07-18 00:00:00,1965.4
2024-07-17 00:00:00,1965.4
2024-07-16 00:00:00,1965.4
2024-07-15 00:00:00,1965.4
2024-07-12 00:00:00,1965.4
2024-07-11 00:00:00,1965.4
2024-07-10 00:00:00,1965.4
2024-07-09 00:00:00,1965.4
2024-07-08 00:00:00,1965.4
2024-07-05 00:00:00,1965.4
2024-07-04 00:00:00,1965.4
2024-07-03 00:00:00,1965.4
2024-07-02 00:00:00,1965.4
2024-07-01 00:00:00,1965.4
2024-06-28 00:00:00,1961.7
2024-06-27 00:00:00,1961.7
2024-06-26 00:00:00,1961.7
2024-06-25 00:00:00,1916.1
2024-06-24 00:00:00,1916.1
2024-06-21 00:00:00,1916.7
2024-06-20 00:00:00,1918.1
2024-06-19 00:00:00,1918.1
2024-06-18 00:00:00,1918.1
2024-06-17 00:00:00,1918.1
2024-06-14 00:00:00,1923.4
2024-06-13 00:00:00,1923.4
2024-06-12 00:00:00,1925.1
2024-06-11 00:00:00,1998.8
2024-06-07 00:00:00,1998.8
2024-06-06 00:00:00,1998.8
2024-06-05 00:00:00,1998.8
2024-06-04 00:00:00,1998.8
2024-06-03 00:00:00,1998.8
2024-05-31 00:00:00,2004.6
2024-05-30 00:00:00,2004.6
2024-05-29 00:00:00,2004.6
2024-05-28 00:00:00,2004.6
2024-05-27 00:00:00,2004.6
2024-05-24 00:00:00,2004.6
2024-05-23 00:00:00,2006.9
2024-05-22 00:00:00,2006.9
2024-05-21 00:00:00,2006.9
2024-05-20 00:00:00,2099.4
2024-05-17 00:00:00,2099.4
2024-05-16 00:00:00,2099.4
2024-05-15 00:00:00,2099.1
2024-05-14 00:00:00,2097.9
2024-05-13 00:00:00,2097.9
2024-05-11 00:00:00,2097.9
2024-05-10 00:00:00,2097.9
2024-05-09 00:00:00,2097.9
2024-05-08 00:00:00,2097.9
2024-05-07 00:00:00,2095.7
2024-05-06 00:00:00,2095.7
2024-04-30 00:00:00,1994.5
2024-04-29 00:00:00,1976.7
2024-04-28 00:00:00,1976.7
2024-04-26 00:00:00,1976.7
2024-04-25 00:00:00,1891.3
2024-04-24 00:00:00,1891.3
2024-04-23 00:00:00,1891.3
2024-04-22 00:00:00,1890.6
2024-04-19 00:00:00,1790.6
2024-04-18 00:00:00,1790.6
2024-04-17 00:00:00,1788.3
2024-04-16 00:00:00,1689.7
2024-04-15 00:00:00,1693.8
2024-04-12 00:00:00,1693.8
2024-04-11 00:00:00,1693.8
2024-04-10 00:00:00,1694.3
2024-04-09 00:00:00,1694.5
2024-04-08 00:00:00,1787.1
2024-04-07 00:00:00,1787.1
2024-04-03 00:00:00,1787.1
2024-04-02 00:00:00,1787.1
2024-04-01 00:00:00,1789.9
2024-03-29 00:00:00,1796.2
2024-03-28 00:00:00,1799.5
2024-03-27 00:00:00,1892.4
2024-03-26 00:00:00,1892.4
2024-03-25 00:00:00,1899.6
2024-03-22 00:00:00,1903.0
2024-03-21 00:00:00,1903.0
2024-03-20 00:00:00,1903.4
2024-03-19 00:00:00,1999.1
2024-03-18 00:00:00,1999.1
2024-03-15 00:00:00,1999.1
2024-03-14 00:00:00,1999.1
2024-03-13 00:00:00,2001.0
2024-03-12 00:00:00,2018.4
2024-03-11 00:00:00,2092.7
2024-03-08 00:00:00,2092.7
2024-03-07 00:00:00,2092.7
2024-03-06 00:00:00,2092.7
2024-03-05 00:00:00,2092.7
2024-03-04 00:00:00,2092.7
2024-03-01 00:00:00,2093.9
2024-02-29 00:00:00,2100.5
2024-02-28 00:00:00,2100.5
2024-02-27 00:00:00,2109.4
2024-02-26 00:00:00,2203.5
2024-02-23 00:00:00,2206.4
2024-02-22 00:00:00,2206.4
2024-02-21 00:00:00,2206.4
2024-02-20 00:00:00,2206.4
2024-02-19 00:00:00,2206.4
2024-02-18 00:00:00,2305.0
2024-02-09 00:00:00,2305.0
2024-02-08 00:00:00,2305.0
2024-02-07 00:00:00,2305.0
