指标名称,煤炭：进口：蒙古产：通关量：甘其毛都口岸（日）
指标编码,RE00024806
2024-11-14 00:00:00,154170.0
2024-11-13 00:00:00,182115.0
2024-11-12 00:00:00,161460.0
2024-11-11 00:00:00,134325.0
2024-11-09 00:00:00,154710.0
2024-11-08 00:00:00,168075.0
2024-11-07 00:00:00,158760.0
2024-11-06 00:00:00,152685.0
2024-11-05 00:00:00,113400.0
2024-11-04 00:00:00,142020.0
2024-11-01 00:00:00,137700.0
2024-10-31 00:00:00,165240.0
2024-10-30 00:00:00,151335.0
2024-10-29 00:00:00,153630.0
2024-10-28 00:00:00,145395.0
2024-10-26 00:00:00,142965.0
2024-10-25 00:00:00,183060.0
2024-10-24 00:00:00,175095.0
2024-10-23 00:00:00,157140.0
2024-10-22 00:00:00,174690.0
2024-10-21 00:00:00,134865.0
2024-10-19 00:00:00,137835.0
2024-10-18 00:00:00,148500.0
2024-10-17 00:00:00,132300.0
2024-10-16 00:00:00,156330.0
2024-10-15 00:00:00,133515.0
2024-10-14 00:00:00,132165.0
2024-10-12 00:00:00,157545.0
2024-10-11 00:00:00,160515.0
2024-10-10 00:00:00,111780.0
2024-10-09 00:00:00,134730.0
2024-10-08 00:00:00,67230.0
2024-09-30 00:00:00,30375.0
2024-09-28 00:00:00,79245.0
2024-09-27 00:00:00,124335.0
2024-09-26 00:00:00,109350.0
2024-09-25 00:00:00,118260.0
2024-09-24 00:00:00,142425.0
2024-09-23 00:00:00,99765.0
2024-09-21 00:00:00,109080.0
2024-09-20 00:00:00,97605.0
2024-09-19 00:00:00,101655.0
2024-09-18 00:00:00,96390.0
2024-09-16 00:00:00,90855.0
2024-09-14 00:00:00,72090.0
2024-09-13 00:00:00,74385.0
2024-09-12 00:00:00,85860.0
2024-09-11 00:00:00,105165.0
2024-09-10 00:00:00,84510.0
2024-09-09 00:00:00,126225.0
2024-09-07 00:00:00,109350.0
2024-09-06 00:00:00,78705.0
2024-09-05 00:00:00,68850.0
2024-09-04 00:00:00,75600.0
2024-09-03 00:00:00,84105.0
2024-09-02 00:00:00,97605.0
2024-08-31 00:00:00,66285.0
2024-08-30 00:00:00,114075.0
2024-08-29 00:00:00,159705.0
2024-08-28 00:00:00,131760.0
2024-08-27 00:00:00,120420.0
2024-08-26 00:00:00,132030.0
2024-08-24 00:00:00,124470.0
2024-08-23 00:00:00,113670.0
2024-08-22 00:00:00,121095.0
2024-08-21 00:00:00,171180.0
2024-08-20 00:00:00,144855.0
2024-08-19 00:00:00,139860.0
2024-08-17 00:00:00,171045.0
2024-08-16 00:00:00,174690.0
2024-08-15 00:00:00,159165.0
2024-08-14 00:00:00,139590.0
2024-08-13 00:00:00,125010.0
2024-08-12 00:00:00,127170.0
2024-08-10 00:00:00,89505.0
2024-08-09 00:00:00,140940.0
2024-08-08 00:00:00,170640.0
2024-08-07 00:00:00,148770.0
2024-08-06 00:00:00,74250.0
2024-08-05 00:00:00,140265.0
2024-08-03 00:00:00,138510.0
2024-08-02 00:00:00,150660.0
2024-08-01 00:00:00,166320.0
2024-07-31 00:00:00,140805.0
2024-07-30 00:00:00,154845.0
2024-07-29 00:00:00,153360.0
2024-07-27 00:00:00,160650.0
2024-07-26 00:00:00,144315.0
2024-07-25 00:00:00,177660.0
2024-07-24 00:00:00,158760.0
2024-07-23 00:00:00,169020.0
2024-07-22 00:00:00,180495.0
2024-07-20 00:00:00,177525.0
2024-07-19 00:00:00,169695.0
2024-07-18 00:00:00,123120.0
2024-07-17 00:00:00,130680.0
2024-07-16 00:00:00,148500.0
2024-07-15 00:00:00,0.0
2024-07-13 00:00:00,0.0
2024-07-12 00:00:00,0.0
2024-07-11 00:00:00,0.0
2024-07-10 00:00:00,82350.0
2024-07-09 00:00:00,137160.0
2024-07-08 00:00:00,128520.0
2024-07-06 00:00:00,155250.0
2024-07-05 00:00:00,134595.0
2024-07-04 00:00:00,105570.0
2024-07-03 00:00:00,126090.0
2024-07-02 00:00:00,92610.0
2024-07-01 00:00:00,134460.0
2024-06-29 00:00:00,82080.0
2024-06-28 00:00:00,150120.0
2024-06-27 00:00:00,200610.0
2024-06-26 00:00:00,197910.0
2024-06-25 00:00:00,196830.0
2024-06-24 00:00:00,166050.0
2024-06-22 00:00:00,154170.0
2024-06-21 00:00:00,164160.0
2024-06-20 00:00:00,189270.0
2024-06-19 00:00:00,203715.0
2024-06-18 00:00:00,188865.0
2024-06-17 00:00:00,172665.0
2024-06-15 00:00:00,194400.0
2024-06-14 00:00:00,168615.0
2024-06-13 00:00:00,202095.0
2024-06-12 00:00:00,179820.0
2024-06-11 00:00:00,172935.0
2024-06-08 00:00:00,194130.0
2024-06-07 00:00:00,176850.0
2024-06-06 00:00:00,189135.0
2024-06-05 00:00:00,131220.0
2024-06-04 00:00:00,81675.0
2024-06-03 00:00:00,72765.0
2024-05-31 00:00:00,157815.0
2024-05-30 00:00:00,147960.0
2024-05-29 00:00:00,154440.0
2024-05-28 00:00:00,147960.0
2024-05-27 00:00:00,145800.0
