指标名称,美国：非农就业人员：季调人数变动（月）
指标编码,GM0000033031
1974-12-31 00:00:00,-604.0
1974-11-30 00:00:00,-368.0
1974-10-31 00:00:00,18.0
1974-09-30 00:00:00,-8.0
1974-08-31 00:00:00,-16.0
1974-07-31 00:00:00,33.0
1974-06-30 00:00:00,55.0
1974-05-31 00:00:00,165.0
1974-04-30 00:00:00,86.0
1974-03-31 00:00:00,42.0
1974-02-28 00:00:00,150.0
1974-01-31 00:00:00,69.0
1973-12-31 00:00:00,123.0
1973-11-30 00:00:00,306.0
1973-10-31 00:00:00,330.0
1973-09-30 00:00:00,110.0
1973-08-31 00:00:00,255.0
1973-07-31 00:00:00,24.0
1973-06-30 00:00:00,241.0
1973-05-31 00:00:00,191.0
1973-04-30 00:00:00,170.0
1973-03-31 00:00:00,268.0
1973-02-28 00:00:00,396.0
1973-01-31 00:00:00,351.0
1972-12-31 00:00:00,303.0
1972-11-30 00:00:00,294.0
1972-10-31 00:00:00,410.0
1972-09-30 00:00:00,125.0
1972-08-31 00:00:00,430.0
1972-07-31 00:00:00,-52.0
1972-06-30 00:00:00,293.0
1972-05-31 00:00:00,304.0
1972-04-30 00:00:00,218.0
1972-03-31 00:00:00,293.0
1972-02-29 00:00:00,207.0
1972-01-31 00:00:00,337.0
1971-12-31 00:00:00,262.0
1971-11-30 00:00:00,204.0
1971-10-31 00:00:00,25.0
1971-09-30 00:00:00,247.0
1971-08-31 00:00:00,55.0
1971-07-31 00:00:00,62.0
1971-06-30 00:00:00,6.0
1971-05-31 00:00:00,210.0
1971-04-30 00:00:00,178.0
1971-03-31 00:00:00,53.0
1971-02-28 00:00:00,-60.0
1971-01-31 00:00:00,76.0
1970-12-31 00:00:00,381.0
1970-11-30 00:00:00,-110.0
1970-10-31 00:00:00,-429.0
1970-09-30 00:00:00,15.0
1970-08-31 00:00:00,-120.0
1970-07-31 00:00:00,24.0
1970-06-30 00:00:00,-94.0
1970-05-31 00:00:00,-225.0
1970-04-30 00:00:00,-104.0
1970-03-31 00:00:00,148.0
1970-02-28 00:00:00,128.0
1970-01-31 00:00:00,-64.0
1969-12-31 00:00:00,153.0
1969-11-30 00:00:00,-33.0
1969-10-31 00:00:00,203.0
1969-09-30 00:00:00,-89.0
1969-08-31 00:00:00,277.0
1969-07-31 00:00:00,93.0
1969-06-30 00:00:00,308.0
1969-05-31 00:00:00,256.0
1969-04-30 00:00:00,167.0
1969-03-31 00:00:00,205.0
1969-02-28 00:00:00,262.0
1969-01-31 00:00:00,192.0
1968-12-31 00:00:00,261.0
1968-11-30 00:00:00,265.0
1968-10-31 00:00:00,233.0
1968-09-30 00:00:00,159.0
1968-08-31 00:00:00,203.0
1968-07-31 00:00:00,221.0
1968-06-30 00:00:00,251.0
1968-05-31 00:00:00,98.0
1968-04-30 00:00:00,260.0
1968-03-31 00:00:00,80.0
1968-02-29 00:00:00,410.0
1968-01-31 00:00:00,-95.0
1967-12-31 00:00:00,197.0
1967-11-30 00:00:00,478.0
1967-10-31 00:00:00,61.0
1967-09-30 00:00:00,22.0
1967-08-31 00:00:00,255.0
1967-07-31 00:00:00,137.0
1967-06-30 00:00:00,131.0
1967-05-31 00:00:00,152.0
1967-04-30 00:00:00,-63.0
1967-03-31 00:00:00,102.0
1967-02-28 00:00:00,21.0
1967-01-31 00:00:00,207.0
1966-12-31 00:00:00,181.0
1966-11-30 00:00:00,165.0
1966-10-31 00:00:00,210.0
1966-09-30 00:00:00,137.0
1966-08-31 00:00:00,206.0
1966-07-31 00:00:00,191.0
1966-06-30 00:00:00,399.0
1966-05-31 00:00:00,275.0
1966-04-30 00:00:00,244.0
1966-03-31 00:00:00,396.0
1966-02-28 00:00:00,268.0
1966-01-31 00:00:00,207.0
1965-12-31 00:00:00,324.0
1965-11-30 00:00:00,279.0
1965-10-31 00:00:00,228.0
1965-09-30 00:00:00,262.0
1965-08-31 00:00:00,265.0
1965-07-31 00:00:00,273.0
1965-06-30 00:00:00,198.0
1965-05-31 00:00:00,233.0
1965-04-30 00:00:00,256.0
1965-03-31 00:00:00,203.0
1965-02-28 00:00:00,217.0
1965-01-31 00:00:00,162.0
1964-12-31 00:00:00,204.0
1964-11-30 00:00:00,423.0
1964-10-31 00:00:00,-109.0
1964-09-30 00:00:00,284.0
1964-08-31 00:00:00,206.0
1964-07-31 00:00:00,192.0
1964-06-30 00:00:00,132.0
1964-05-31 00:00:00,167.0
1964-04-30 00:00:00,24.0
1964-03-31 00:00:00,147.0
1964-02-29 00:00:00,264.0
1964-01-31 00:00:00,127.0
1963-12-31 00:00:00,105.0
1963-11-30 00:00:00,-29.0
1963-10-31 00:00:00,207.0
1963-09-30 00:00:00,167.0
1963-08-31 00:00:00,116.0
1963-07-31 00:00:00,136.0
1963-06-30 00:00:00,42.0
1963-05-31 00:00:00,36.0
1963-04-30 00:00:00,258.0
1963-03-31 00:00:00,92.0
1963-02-28 00:00:00,114.0
1963-01-31 00:00:00,88.0
1962-12-31 00:00:00,-28.0
1962-11-30 00:00:00,15.0
1962-10-31 00:00:00,64.0
1962-09-30 00:00:00,139.0
1962-08-31 00:00:00,92.0
1962-07-31 00:00:00,102.0
1962-06-30 00:00:00,17.0
1962-05-31 00:00:00,25.0
1962-04-30 00:00:00,326.0
1962-03-31 00:00:00,89.0
1962-02-28 00:00:00,296.0
1962-01-31 00:00:00,20.0
1961-12-31 00:00:00,128.0
1961-11-30 00:00:00,221.0
1961-10-31 00:00:00,134.0
1961-09-30 00:00:00,90.0
1961-08-31 00:00:00,175.0
1961-07-31 00:00:00,146.0
1961-06-30 00:00:00,192.0
1961-05-31 00:00:00,159.0
1961-04-30 00:00:00,-36.0
1961-03-31 00:00:00,106.0
1961-02-28 00:00:00,-127.0
1961-01-31 00:00:00,-61.0
1960-12-31 00:00:00,-218.0
1960-11-30 00:00:00,-182.0
1960-10-31 00:00:00,-84.0
1960-09-30 00:00:00,-43.0
1960-08-31 00:00:00,-33.0
1960-07-31 00:00:00,-43.0
1960-06-30 00:00:00,-126.0
1960-05-31 00:00:00,-339.0
1960-04-30 00:00:00,354.0
1960-03-31 00:00:00,-55.0
1960-02-29 00:00:00,239.0
1960-01-31 00:00:00,99.0
1959-12-31 00:00:00,540.0
1959-11-30 00:00:00,276.0
1959-10-31 00:00:00,-70.0
1959-09-30 00:00:00,95.0
1959-08-31 00:00:00,-469.0
1959-07-31 00:00:00,124.0
1959-06-30 00:00:00,130.0
1959-05-31 00:00:00,229.0
1959-04-30 00:00:00,304.0
1959-03-31 00:00:00,329.0
1959-02-28 00:00:00,207.0
1959-01-31 00:00:00,392.0
1958-12-31 00:00:00,144.0
