指标名称,欧元区20国：消费者：信心指数（月）
指标编码,GM0000039261
1996-11-30 00:00:00,-13.2
1996-10-31 00:00:00,-12.8
1996-09-30 00:00:00,-12.3
1996-08-31 00:00:00,-12.3
1996-07-31 00:00:00,-13.2
1996-06-30 00:00:00,-12.2
1996-05-31 00:00:00,-12.3
1996-04-30 00:00:00,-13.0
1996-03-31 00:00:00,-12.3
1996-02-29 00:00:00,-12.8
1996-01-31 00:00:00,-12.4
1995-12-31 00:00:00,-11.8
1995-11-30 00:00:00,-10.6
1995-10-31 00:00:00,-10.5
1995-09-30 00:00:00,-9.4
1995-08-31 00:00:00,-8.3
1995-07-31 00:00:00,-8.1
1995-06-30 00:00:00,-7.5
1995-05-31 00:00:00,-7.5
1995-04-30 00:00:00,-8.3
1995-03-31 00:00:00,-8.8
1995-02-28 00:00:00,-8.5
1995-01-31 00:00:00,-8.3
1994-12-31 00:00:00,-8.1
1994-11-30 00:00:00,-7.7
1994-10-31 00:00:00,-7.4
1994-09-30 00:00:00,-7.0
1994-08-31 00:00:00,-8.0
1994-07-31 00:00:00,-8.8
1994-06-30 00:00:00,-8.5
1994-05-31 00:00:00,-10.0
1994-04-30 00:00:00,-12.3
1994-03-31 00:00:00,-14.4
1994-02-28 00:00:00,-15.8
1994-01-31 00:00:00,-17.7
1993-12-31 00:00:00,-17.5
1993-11-30 00:00:00,-19.2
1993-10-31 00:00:00,-18.8
1993-09-30 00:00:00,-18.0
1993-08-31 00:00:00,-18.7
1993-07-31 00:00:00,-19.2
1993-06-30 00:00:00,-19.2
1993-05-31 00:00:00,-17.3
1993-04-30 00:00:00,-17.1
1993-03-31 00:00:00,-19.0
1993-02-28 00:00:00,-18.3
1993-01-31 00:00:00,-18.8
1992-12-31 00:00:00,-18.1
1992-11-30 00:00:00,-17.2
1992-10-31 00:00:00,-16.7
1992-09-30 00:00:00,-15.3
1992-08-31 00:00:00,-13.6
1992-07-31 00:00:00,-12.6
1992-06-30 00:00:00,-12.8
1992-05-31 00:00:00,-12.9
1992-04-30 00:00:00,-12.1
1992-03-31 00:00:00,-10.7
1992-02-29 00:00:00,-10.1
1992-01-31 00:00:00,-11.1
1991-12-31 00:00:00,-9.9
1991-11-30 00:00:00,-9.9
1991-10-31 00:00:00,-10.2
1991-09-30 00:00:00,-9.6
1991-08-31 00:00:00,-11.3
1991-07-31 00:00:00,-11.0
1991-06-30 00:00:00,-8.7
1991-05-31 00:00:00,-7.6
1991-04-30 00:00:00,-8.2
1991-03-31 00:00:00,-7.4
1991-02-28 00:00:00,-10.4
1991-01-31 00:00:00,-10.0
1990-12-31 00:00:00,-6.7
1990-11-30 00:00:00,-7.1
1990-10-31 00:00:00,-8.7
1990-09-30 00:00:00,-8.4
1990-08-31 00:00:00,-3.4
1990-07-31 00:00:00,-3.0
1990-06-30 00:00:00,-3.2
1990-05-31 00:00:00,-3.4
1990-04-30 00:00:00,-2.5
1990-03-31 00:00:00,-3.1
1990-02-28 00:00:00,-2.1
1990-01-31 00:00:00,-2.2
1989-12-31 00:00:00,-1.8
1989-11-30 00:00:00,-2.5
1989-10-31 00:00:00,-2.6
1989-09-30 00:00:00,-2.6
1989-08-31 00:00:00,-3.6
1989-07-31 00:00:00,-3.5
1989-06-30 00:00:00,-4.1
1989-05-31 00:00:00,-5.4
1989-04-30 00:00:00,-4.9
1989-03-31 00:00:00,-4.4
1989-02-28 00:00:00,-4.1
1989-01-31 00:00:00,-3.5
1988-12-31 00:00:00,-3.2
1988-11-30 00:00:00,-2.8
1988-10-31 00:00:00,-3.4
1988-09-30 00:00:00,-4.4
1988-08-31 00:00:00,-5.0
1988-07-31 00:00:00,-6.2
1988-06-30 00:00:00,-5.8
1988-05-31 00:00:00,-5.9
1988-04-30 00:00:00,-5.3
1988-03-31 00:00:00,-6.0
1988-02-29 00:00:00,-6.2
1988-01-31 00:00:00,-6.8
1987-12-31 00:00:00,-6.6
1987-11-30 00:00:00,-7.1
1987-10-31 00:00:00,-6.2
1987-09-30 00:00:00,-5.6
1987-08-31 00:00:00,-7.2
1987-07-31 00:00:00,-7.2
1987-06-30 00:00:00,-7.3
1987-05-31 00:00:00,-6.8
1987-04-30 00:00:00,-6.0
1987-03-31 00:00:00,-5.6
1987-02-28 00:00:00,-5.4
1987-01-31 00:00:00,-4.8
1986-12-31 00:00:00,-4.8
1986-11-30 00:00:00,-4.4
1986-10-31 00:00:00,-4.0
1986-09-30 00:00:00,-4.5
1986-08-31 00:00:00,-4.5
1986-07-31 00:00:00,-5.4
1986-06-30 00:00:00,-5.4
1986-05-31 00:00:00,-5.4
1986-04-30 00:00:00,-5.1
1986-03-31 00:00:00,-4.5
1986-02-28 00:00:00,-5.0
1986-01-31 00:00:00,-5.7
1985-12-31 00:00:00,-8.3
1985-11-30 00:00:00,-8.0
1985-10-31 00:00:00,-8.3
1985-09-30 00:00:00,-11.0
1985-08-31 00:00:00,-11.3
1985-07-31 00:00:00,-11.6
1985-06-30 00:00:00,-11.9
1985-05-31 00:00:00,-11.5
1985-04-30 00:00:00,-11.1
1985-03-31 00:00:00,-11.8
1985-02-28 00:00:00,-10.9
1985-01-31 00:00:00,-10.5
