指标名称,纳斯达克指数：收盘价（日）
指标编码,GM0000000319
2024-04-16 00:00:00,15865.25
2024-04-15 00:00:00,15885.02
2024-04-12 00:00:00,16175.09
2024-04-11 00:00:00,16442.2
2024-04-10 00:00:00,16170.36
2024-04-09 00:00:00,16306.64
2024-04-08 00:00:00,16253.96
2024-04-05 00:00:00,16248.52
2024-04-04 00:00:00,16049.08
2024-04-03 00:00:00,16277.46
2024-04-02 00:00:00,16240.45
2024-04-01 00:00:00,16396.83
2024-03-29 00:00:00,16379.46
2024-03-28 00:00:00,16379.46
2024-03-27 00:00:00,16399.52
2024-03-26 00:00:00,16315.7
2024-03-25 00:00:00,16384.47
2024-03-22 00:00:00,16428.82
2024-03-21 00:00:00,16401.84
2024-03-20 00:00:00,16369.41
2024-03-19 00:00:00,16166.79
2024-03-18 00:00:00,16103.45
2024-03-15 00:00:00,15973.17
2024-03-14 00:00:00,16128.53
2024-03-13 00:00:00,16177.77
2024-03-12 00:00:00,16265.64
2024-03-11 00:00:00,16019.27
2024-03-08 00:00:00,16085.11
2024-03-07 00:00:00,16273.38
2024-03-06 00:00:00,16031.54
2024-03-05 00:00:00,15939.59
2024-03-04 00:00:00,16207.51
2024-03-01 00:00:00,16274.94
2024-02-29 00:00:00,16091.92
2024-02-28 00:00:00,15947.74
2024-02-27 00:00:00,16035.3
2024-02-26 00:00:00,15976.25
2024-02-23 00:00:00,15996.82
2024-02-22 00:00:00,16041.62
2024-02-21 00:00:00,15580.87
2024-02-20 00:00:00,15630.78
2024-02-19 00:00:00,15775.65
2024-02-16 00:00:00,15775.65
2024-02-15 00:00:00,15906.17
2024-02-14 00:00:00,15859.15
2024-02-13 00:00:00,15655.6
2024-02-12 00:00:00,15942.55
2024-02-09 00:00:00,15990.66
2024-02-08 00:00:00,15793.71
2024-02-07 00:00:00,15756.64
2024-02-06 00:00:00,15609.0
2024-02-05 00:00:00,15597.68
2024-02-02 00:00:00,15628.95
2024-02-01 00:00:00,15361.64
2024-01-31 00:00:00,15164.01
2024-01-30 00:00:00,15509.9
2024-01-29 00:00:00,15628.04
2024-01-26 00:00:00,15455.36
2024-01-25 00:00:00,15510.5
2024-01-24 00:00:00,15481.92
2024-01-23 00:00:00,15425.94
2024-01-22 00:00:00,15360.29
2024-01-19 00:00:00,15310.97
2024-01-18 00:00:00,15055.65
2024-01-17 00:00:00,14855.62
2024-01-16 00:00:00,14944.35
2024-01-15 00:00:00,14972.76
2024-01-12 00:00:00,14972.76
2024-01-11 00:00:00,14970.19
2024-01-10 00:00:00,14969.65
2024-01-09 00:00:00,14857.71
2024-01-08 00:00:00,14843.77
2024-01-05 00:00:00,14524.07
2024-01-04 00:00:00,14510.3
2024-01-03 00:00:00,14592.21
2024-01-02 00:00:00,14765.94
2024-01-01 00:00:00,15011.35
2023-12-29 00:00:00,15011.35
2023-12-28 00:00:00,15095.14
2023-12-27 00:00:00,15099.18
2023-12-26 00:00:00,15074.57
2023-12-25 00:00:00,14992.97
2023-12-22 00:00:00,14992.97
2023-12-21 00:00:00,14963.87
2023-12-20 00:00:00,14777.94
2023-12-19 00:00:00,15003.22
2023-12-18 00:00:00,14904.81
2023-12-15 00:00:00,14813.92
2023-12-14 00:00:00,14761.56
2023-12-13 00:00:00,14733.96
2023-12-12 00:00:00,14533.4
2023-12-11 00:00:00,14432.49
2023-12-08 00:00:00,14403.97
2023-12-07 00:00:00,14339.99
2023-12-06 00:00:00,14146.71
2023-12-05 00:00:00,14229.91
2023-12-04 00:00:00,14185.49
2023-12-01 00:00:00,14305.03
2023-11-30 00:00:00,14226.22
2023-11-29 00:00:00,14258.49
2023-11-28 00:00:00,14281.76
2023-11-27 00:00:00,14241.02
2023-11-24 00:00:00,14250.85
2023-11-23 00:00:00,14265.86
2023-11-22 00:00:00,14265.86
2023-11-21 00:00:00,14199.98
2023-11-20 00:00:00,14284.53
2023-11-17 00:00:00,14125.48
2023-11-16 00:00:00,14113.67
2023-11-15 00:00:00,14103.84
2023-11-14 00:00:00,14094.38
2023-11-13 00:00:00,13767.74
2023-11-10 00:00:00,13798.11
2023-11-09 00:00:00,13521.45
2023-11-08 00:00:00,13650.41
2023-11-07 00:00:00,13639.86
2023-11-06 00:00:00,13518.78
2023-11-03 00:00:00,13478.28
2023-11-02 00:00:00,13294.19
2023-11-01 00:00:00,13061.47
2023-10-31 00:00:00,12851.24
2023-10-30 00:00:00,12789.48
2023-10-27 00:00:00,12643.01
2023-10-26 00:00:00,12595.61
2023-10-25 00:00:00,12821.22
2023-10-24 00:00:00,13139.87
2023-10-23 00:00:00,13018.33
2023-10-20 00:00:00,12983.81
2023-10-19 00:00:00,13186.18
2023-10-18 00:00:00,13314.3
2023-10-17 00:00:00,13533.75
2023-10-16 00:00:00,13567.98
2023-10-13 00:00:00,13407.23
2023-10-12 00:00:00,13574.22
2023-10-11 00:00:00,13659.68
2023-10-10 00:00:00,13562.84
2023-10-09 00:00:00,13484.24
2023-10-06 00:00:00,13431.34
2023-10-05 00:00:00,13219.83
2023-10-04 00:00:00,13236.01
2023-10-03 00:00:00,13059.47
2023-10-02 00:00:00,13307.77
2023-09-29 00:00:00,13219.32
2023-09-28 00:00:00,13201.28
2023-09-27 00:00:00,13092.85
2023-09-26 00:00:00,13063.61
2023-09-25 00:00:00,13271.32
2023-09-22 00:00:00,13211.81
2023-09-21 00:00:00,13223.98
2023-09-20 00:00:00,13469.13
2023-09-19 00:00:00,13678.19
2023-09-18 00:00:00,13710.24
2023-09-15 00:00:00,13708.33
2023-09-14 00:00:00,13926.05
2023-09-13 00:00:00,13813.59
2023-09-12 00:00:00,13773.61
2023-09-11 00:00:00,13917.89
2023-09-08 00:00:00,13761.53
2023-09-07 00:00:00,13748.83
2023-09-06 00:00:00,13872.47
2023-09-05 00:00:00,14020.95
2023-09-04 00:00:00,14031.81
2023-09-01 00:00:00,14031.81
2023-08-31 00:00:00,14034.97
2023-08-30 00:00:00,14019.31
2023-08-29 00:00:00,13943.76
2023-08-28 00:00:00,13705.13
2023-08-25 00:00:00,13590.65
2023-08-24 00:00:00,13463.97
2023-08-23 00:00:00,13721.03
2023-08-22 00:00:00,13505.87
2023-08-21 00:00:00,13497.59
2023-08-18 00:00:00,13290.78
2023-08-17 00:00:00,13316.93
